Time,MotorTorque,MotorAccel,MotorVel,MotorPos
2.1,0.019730644,-0.04813236,0.079454667,0.103767097
2.11,0.019696074,-0.023497918,0.087354513,0.110415827
2.12,0.019659364,-0.042408871,0.081472206,0.107325157
2.13,0.019620508,-0.033699172,0.084312354,0.11040814
2.14,0.019579498,-0.044555862,0.080953032,0.109113274
2.15,0.019536327,-0.047634438,0.080041262,0.109554815
2.16,0.019490988,-0.05543448,0.077624259,0.10893761
2.17,0.019443475,-0.047573572,0.080147442,0.111819144
2.18,0.019393782,-0.037014297,0.083511614,0.115300735
2.19,0.019341901,-0.035500739,0.084002904,0.116756163
2.2,0.019287829,-0.026264924,0.086923744,0.119934696
2.21,0.019231558,-0.036590573,0.083646201,0.118735349
2.22,0.019173084,-0.065828263,0.074375587,0.113303178
2.23,0.019112402,-0.055939241,0.077465287,0.116615866
2.24,0.019049507,-0.048373921,0.079807461,0.119404648
2.25,0.018984395,-0.073533622,0.07178835,0.114871451
2.26,0.018917062,-0.052705702,0.078298974,0.120616756
2.27,0.018847504,-0.056822099,0.076908627,0.120779533
2.28,0.018775716,-0.048873427,0.079320693,0.123635203
2.29,0.018701697,-0.047919248,0.079507905,0.124921711
2.3,0.018625443,-0.045820241,0.080044086,0.126458896
2.31,0.018546952,-0.058139619,0.076007721,0.124766605
2.32,0.018466221,-0.059779358,0.075335372,0.125456688
2.33,0.018383249,-0.04425414,0.080077877,0.129979174
2.34,0.018298032,-0.04170277,0.080704467,0.131594682
2.35,0.018210572,-0.065203541,0.073079332,0.127378609
2.36,0.018120865,-0.061133054,0.074159647,0.129321341
2.37,0.018028912,-0.073638999,0.069984644,0.127551011
2.38,0.017934712,-0.064912486,0.072510491,0.130521747
2.39,0.017838265,-0.05895174,0.074148247,0.132867211
2.4,0.017739572,-0.073856392,0.069174254,0.130540048
2.41,0.017638633,-0.067911901,0.070779776,0.132867724
2.42,0.017535448,-0.070165633,0.069779184,0.133354892
2.43,0.017430021,-0.07806194,0.066980607,0.132572844
2.44,0.017322351,-0.078510211,0.066523611,0.133448567
2.45,0.017212441,-0.055607786,0.073437042,0.1395378
2.46,0.017100294,-0.085738221,0.063566249,0.133760524
2.47,0.016985912,-0.08196382,0.064403317,0.135556408
2.48,0.016869299,-0.093320049,0.060441841,0.133960618
2.49,0.016750458,-0.080514178,0.064107244,0.137759104
2.5,0.016629392,-0.07687272,0.064860727,0.139499659
2.51,0.016506107,-0.08738795,0.061123567,0.138065806
2.52,0.016380606,-0.07994421,0.063051603,0.140638653
2.53,0.016252895,-0.091892059,0.058833525,0.138866188
2.54,0.016122979,-0.073242368,0.064277262,0.143926151
2.55,0.015990863,-0.087497592,0.059301554,0.141618788
2.56,0.015856555,-0.080659426,0.060982143,0.144018317
2.57,0.01572006,-0.067888398,0.064524833,0.147734569
2.58,0.015581386,-0.086561897,0.058109839,0.144409537
2.59,0.01544054,-0.078848447,0.060025064,0.146974559
2.6,0.015297529,-0.090907357,0.05567364,0.145107931
2.61,0.015152361,-0.097753739,0.052956472,0.144396273
2.62,0.015005047,-0.105104239,0.050065787,0.143561134
2.63,0.014855593,-0.100941202,0.050801893,0.145289573
2.64,0.01470401,-0.086724741,0.054703056,0.149254931
2.65,0.014550307,-0.090888293,0.052777828,0.149099129
2.66,0.014394495,-0.111060532,0.045776087,0.145352241
2.67,0.014236584,-0.103833601,0.047424599,0.147720393
2.68,0.014076585,-0.116090497,0.042897661,0.145720058
2.69,0.01391451,-0.10120649,0.04693931,0.149776677
2.7,0.013750371,-0.09575427,0.047984249,0.151712181
2.71,0.013584179,-0.114081449,0.04149537,0.148318178
2.72,0.013415948,-0.135724729,0.033943746,0.144170236
2.73,0.013245691,-0.101945277,0.043904235,0.152402592
2.74,0.013073421,-0.0779833,0.050746085,0.158426926
2.75,0.012899153,-0.10582354,0.041192567,0.152855002
2.76,0.0127229,-0.109321565,0.039322681,0.152713067
2.77,0.012544678,-0.110579099,0.038147265,0.153058864
2.78,0.012364503,-0.104927118,0.039142814,0.154936255
2.79,0.012182389,-0.094742605,0.041557681,0.157813569
2.8,0.011998353,-0.101456819,0.038614731,0.15689847
2.81,0.011812412,-0.119731404,0.032002124,0.153384491
2.82,0.011624583,-0.118671216,0.031489791,0.154179836
2.83,0.011434883,-0.117435057,0.031019216,0.155000309
2.84,0.01124333,-0.129487339,0.02633261,0.152835019
2.85,0.011049944,-0.110397847,0.031480073,0.157618705
2.86,0.010854742,-0.121378699,0.02710467,0.155663768
2.87,0.010657744,-0.108437924,0.0302802,0.159043024
2.88,0.01045897,-0.126943233,0.023497894,0.155375722
2.89,0.01025844,-0.109482227,0.028075468,0.15973558
2.9,0.010056175,-0.145958439,0.015582971,0.152019406
2.91,0.009852196,-0.109708564,0.026074905,0.160549824
2.92,0.009646524,-0.144068617,0.014224491,0.153275778
2.93,0.009439182,-0.140333085,0.01440748,0.154504411
2.94,0.009230191,-0.130248008,0.016584948,0.157136946
2.95,0.009019576,-0.146206517,0.01051334,0.153929911
2.96,0.008807359,-0.127891826,0.015266559,0.158370405
2.97,0.008593564,-0.127987474,0.014184666,0.158677889
2.98,0.008378216,-0.121109271,0.015294909,0.160528295
2.99,0.008161339,-0.139213843,0.008491781,0.156775766
3,0.007942958,-0.131826233,0.009736931,0.158706705
3.01,0.007723099,-0.134364788,0.007830164,0.15840119
3.02,0.007501789,-0.130609626,0.007900729,0.159485962
3.03,0.007279053,-0.13212865,0.006290607,0.159374222
3.04,0.007054918,-0.149153585,-0.000235679,0.155777955
3.05,0.006829413,-0.12232918,0.007091727,0.161969265
3.06,0.006602565,-0.144567732,-0.001108541,0.157172201
3.07,0.006374402,-0.150595275,-0.004194958,0.155982336
3.08,0.006144953,-0.152159897,-0.005882511,0.155772592
3.09,0.005914248,-0.130948959,-0.000380146,0.160637673
3.1,0.005682315,-0.145179423,-0.00609759,0.157559746
3.11,0.005449185,-0.117212176,0.001516894,0.163899324
3.12,0.005214889,-0.14688762,-0.009108906,0.157331293
3.13,0.004979457,-0.146949306,-0.010381978,0.15736667
3.14,0.004742921,-0.142037436,-0.010094137,0.158495623
3.15,0.004505313,-0.158537545,-0.016589118,0.154818051
3.16,0.004266665,-0.150103279,-0.015210809,0.156697202
3.17,0.004027009,-0.16369614,-0.020809633,0.153632054
3.18,0.003786378,-0.137936734,-0.013975608,0.159347348
3.19,0.003544807,-0.145922455,-0.017824047,0.157497904
3.2,0.003302329,-0.161717559,-0.024153229,0.153883025
3.21,0.003058979,-0.149240294,-0.021552983,0.156570735
3.22,0.00281479,-0.154365556,-0.024530102,0.155302995
3.23,0.002569799,-0.136956533,-0.020392087,0.159054571
3.24,0.00232404,-0.137624463,-0.021981211,0.158744418
3.25,0.002077551,-0.145090896,-0.025730784,0.156894381
3.26,0.001830366,-0.147142446,-0.027778462,0.156235366
3.27,0.001582523,-0.144410604,-0.028323804,0.156626077
3.28,0.00133406,-0.160431966,-0.034809596,0.152803487
3.29,0.001085013,-0.149435167,-0.032761521,0.155002299
3.3,0.000835421,-0.15735712,-0.036705961,0.152950627
3.31,0.000585321,-0.145012117,-0.034251162,0.155410581
3.32,0.000334752,-0.155686121,-0.039085198,0.152703051
3.33,8.37546E-05,-0.135399042,-0.034137912,0.156898277
3.34,-0.000167633,-0.152629418,-0.041063966,0.152683922
3.35,-0.000419372,-0.141824013,-0.039133448,0.154718068
3.36,-0.000671421,-0.155060165,-0.044814497,0.151355801
3.37,-0.000923739,-0.169862319,-0.050999558,0.147622746
3.38,-0.001176287,-0.151314438,-0.046647042,0.151326306
3.39,-0.001429023,-0.157050542,-0.049982259,0.149579064
3.4,-0.001681905,-0.169033358,-0.055301151,0.146414224
3.41,-0.001934892,-0.152891291,-0.05173429,0.149517456
3.42,-0.002187941,-0.152497128,-0.053155295,0.149078459
3.43,-0.002441011,-0.158872933,-0.056724911,0.147104713
3.44,-0.002694058,-0.141415677,-0.05276543,0.150439222
3.45,-0.002947039,-0.163112021,-0.061194797,0.144997701
3.46,-0.003199912,-0.164430787,-0.063187413,0.144091689
3.47,-0.003452632,-0.154989497,-0.061784414,0.14557061
3.48,-0.003705155,-0.150880996,-0.062074612,0.145835965
3.49,-0.003957438,-0.159780223,-0.06648484,0.143171556
3.5,-0.004209435,-0.157202148,-0.067272051,0.143052381
3.51,-0.004461103,-0.165141088,-0.071391258,0.140560339
3.52,-0.004712396,-0.133952967,-0.063143422,0.146796167
3.53,-0.004963269,-0.134402679,-0.06490616,0.145936338
3.54,-0.005213676,-0.168780875,-0.07740363,0.137468638
3.55,-0.005463572,-0.133868736,-0.067994961,0.14447349
3.56,-0.005712911,-0.161890259,-0.07849284,0.137384704
3.57,-0.005961647,-0.155616812,-0.078150654,0.137943263
3.58,-0.006209733,-0.146639388,-0.076958132,0.139085211
3.59,-0.006457123,-0.15502423,-0.081260554,0.136323605
3.6,-0.00670377,-0.137956484,-0.077518449,0.139232149
3.61,-0.006949627,-0.138657396,-0.079399347,0.138146291
3.62,-0.007194647,-0.166348677,-0.089819177,0.131004014
3.63,-0.007438783,-0.160547348,-0.089651308,0.131329742
3.64,-0.007681988,-0.156922899,-0.090175188,0.131147561
3.65,-0.007924213,-0.14453988,-0.087932484,0.132902741
3.66,-0.008165411,-0.152481844,-0.092119983,0.130092032
3.67,-0.008405535,-0.140456117,-0.089995778,0.131725189
3.68,-0.008644535,-0.144582667,-0.092981759,0.129725581
3.69,-0.008882365,-0.15634573,-0.098384757,0.125997433
3.7,-0.009118977,-0.144063667,-0.096185907,0.127625024
3.71,-0.00935432,-0.152201414,-0.100446001,0.124665744
3.72,-0.009588348,-0.150240241,-0.101513915,0.123943844
3.73,-0.009821013,-0.129203784,-0.096550813,0.127466558
3.74,-0.010052264,-0.158802161,-0.10760071,0.119646296
3.75,-0.010282055,-0.161619758,-0.110182376,0.117793781
3.76,-0.010510336,-0.13566881,-0.103666958,0.122353564
3.77,-0.010737059,-0.155223181,-0.111541647,0.116717579
3.78,-0.010962174,-0.140138287,-0.108462229,0.118806779
3.79,-0.011185635,-0.135312799,-0.10862664,0.1185816
